,Unnamed: 0,Plot,Year,Date,Red,Green,Blue,BI,GLI,NGRDI,VARI,BGI,ExG,ExR,ExB,ExGR,MGRVI,RGBVI,GRRI,VEG,Range,Row,Mean.Yld.bu.ac
1078,1079,Plot1000,2022,6102022,57.509,84.406,54.272,66.77601341,0.203251685,0.189528943,0.306892735,0.642987465,57.031,-0.019845352,-0.042944741,57.05084535,0.365913816,0.39073192,1.467700708,1.496290023,5,8,234.6136114
1079,1080,Plot1001,2022,6102022,58.727,85.632,55.009,67.84219443,0.201852632,0.186375633,0.301119194,0.642388359,57.528,-0.017125115,-0.043233618,57.54512512,0.36023808,0.388354521,1.458136802,1.49024209,5,9,235.3016744
1080,1081,Plot1002,2022,6102022,65.675,92.625,60.691,74.33257189,0.188963339,0.170246368,0.276101589,0.655233468,58.884,-0.00310515,-0.034967647,58.88710515,0.330901931,0.365571806,1.410354016,1.447911365,5,10,235.3224912
1081,1082,Plot1003,2022,6102022,67.505,95.144,61.437,76.12229356,0.192168656,0.169930341,0.273080267,0.645726478,61.346,-0.002842659,-0.040753104,61.34884266,0.330322192,0.371605527,1.409436338,1.454343997,5,11,214.6295961
1082,1083,Plot1004,2022,6102022,73.361,101.02,65.805,81.48041635,0.184269913,0.158612464,0.254743221,0.651405662,62.874,0.007017062,-0.037025472,62.86698294,0.309440061,0.357724794,1.37702594,1.427781781,5,12,239.3317461
1083,1084,Plot1005,2022,6102022,70.293,98.506,63.337,78.85876289,0.191693735,0.167139616,0.267518158,0.642976062,63.382,-0.000412689,-0.042363959,63.38241269,0.325194706,0.370969213,1.401362867,1.450842884,5,13,230.1133018
1084,1085,Plot1006,2022,6102022,66.176,94.189,60.551,75.09383973,0.195652243,0.174682755,0.280652013,0.642867001,61.651,-0.006982745,-0.042629778,61.65798274,0.339020613,0.377723375,1.423310566,1.466042446,5,14,234.8023394
1085,1086,Plot1007,2022,6102022,63.56,91.537,58.442,72.65067867,0.200186183,0.180383889,0.289452175,0.638452211,61.072,-0.011955661,-0.045510188,61.08395566,0.349398914,0.385695776,1.440166772,1.480994934,5,15,229.9321522
1086,1087,Plot1008,2022,6102022,61.451,88.51,57.226,70.43924232,0.197306702,0.180440248,0.291788429,0.646548413,58.343,-0.011963106,-0.040512194,58.35496311,0.349501197,0.380369272,1.440334576,1.474907992,5,16,226.0906042
1087,1088,Plot1009,2022,6102022,62.653,89.385,58.249,71.43300506,0.193104461,0.175824465,0.285022764,0.651664149,57.868,-0.007945332,-0.037265261,57.87594533,0.341103959,0.372896868,1.426667518,1.461717191,5,17,220.5814312
