Plot,Year,Date,Red,Green,Blue,BI,GLI,NGRDI,VARI,BGI,ExG,ExR,ExB,ExGR,MGRVI,RGBVI,GRRI,VEG,Range,Row,Mean.Yld.bu.ac,left,top,right,bottom,Crop Flw(M,Crop Flw(V,Elevation(,Moisture(%,Yld Mass(D,Yld Vol(Dr,id_old,X,Y,Height
1000,2022,6282022,21.464,37.984,20.204,27.75901756,0.291577408,0.277889921,0.42095607,0.531908172,34.3,-0.099613318,-0.121759654,34.39961332,0.515937684,0.537786465,1.769660827,1.80567276,5,8,234.6136114,-93.529918931,44.077772119,-93.529879931,44.077733119,21.44597848,1378.032271,1144.984501,18.34312197,12617.8098,225.3177948,1196,-93.52993617085933,44.077728448039935,0.14759
1001,2022,6282022,22.074,38.798,20.385,28.33192843,0.292674191,0.274740439,0.413070862,0.525413681,35.137,-0.097153476,-0.126253738,35.23415348,0.510915776,0.539725937,1.757633415,1.804846277,5,9,235.3016744,-93.529918931,44.077733119,-93.529879931,44.077694119,20.08900187,1290.61323,1144.67435,18.37840864,12522.51934,223.6161906,1197,-93.52993617085933,44.077689448039926,0.14713
1002,2022,6282022,25.569,40.439,22.039,30.41273858,0.258938717,0.225275724,0.338192818,0.544993694,33.27,-0.052726385,-0.108855498,33.32272638,0.428790685,0.487440388,1.581563612,1.66177585,5,10,235.3224912,-93.529918931,44.077694119,-93.529879931,44.077655119,18.87031423,1212.318597,1144.504079,18.4393274,12175.47616,217.418975,1198,-93.52993617085933,44.077650448039925,0.12773
1003,2022,6282022,21.765,37.475,20.306,27.63104827,0.280966664,0.265192438,0.403503365,0.54185457,32.879,-0.088049682,-0.113727906,32.96704968,0.495535346,0.521257065,1.721801057,1.762047812,5,11,214.6295961,-93.529918931,44.077655119,-93.529879931,44.077616119,19.45280722,1249.732449,1144.483531,18.44957966,12410.77387,221.6207258,1199,-93.52993617085933,44.07761144803993,0.13399
1004,2022,6282022,23.062,39.829,21.445,29.31491719,0.283099102,0.266604125,0.404550499,0.538426774,35.151,-0.089430374,-0.116273003,35.24043037,0.497824032,0.524665959,1.727040153,1.769357333,5,12,239.3317461,-93.529918931,44.077616119000005,-93.529879931,44.077577119,20.40656579,1311.176347,1144.615759,18.47298832,12654.08193,225.965506,1200,-93.52993617085933,44.07757244803994,0.12532
1005,2022,6282022,23.316,39.089,20.538,28.82935553,0.281270486,0.252752183,0.376740631,0.525416358,34.324,-0.077723256,-0.124613289,34.40172326,0.47515004,0.522761925,1.676488248,1.748829406,5,13,230.1133018,-93.529918931,44.077577119,-93.529879931,44.077538119,20.81746737,1337.493222,1144.683906,18.50713306,12665.7187,226.1732992,1201,-93.52993617085933,44.07753344803994,0.12722
1006,2022,6282022,22.78,39.111,20.516,28.69091016,0.28741421,0.263867121,0.394706949,0.524558308,34.926,-0.087601781,-0.126064533,35.01360178,0.493382091,0.531949248,1.71690079,1.777803362,5,14,234.8023394,-93.529918931,44.077538119,-93.529879931,44.077499119,21.29070976,1368.059238,1144.837897,18.47298892,12498.25109,223.1828037,1202,-93.52993617085933,44.077494448039936,0.13692
1007,2022,6282022,23.771,39.581,21.427,29.38725535,0.273110325,0.249558025,0.377101968,0.541345595,33.964,-0.074329728,-0.113037427,34.03832973,0.46985392,0.509304424,1.665096126,1.723665447,5,15,229.9321522,-93.529918931,44.077499119,-93.529879931,44.077460119,21.78612275,1400.055715,1145.152449,18.46144183,12395.93891,221.3558053,1203,-93.52993617085933,44.077455448039935,0.13325
1008,2022,6282022,25.595,40.948,21.971,30.62987414,0.265174337,0.230722991,0.344453917,0.536558562,34.33,-0.057787469,-0.115107215,34.38778747,0.43812332,0.497698943,1.599843719,1.683283355,5,16,226.0906042,-93.529918931,44.077460119,-93.529879931,44.077421119,21.0883625,1355.120549,1145.490951,18.42216682,11977.82936,213.8895625,1204,-93.52993617085933,44.07741644803993,0.11731
1009,2022,6282022,25.612,41.389,21.959,30.82867467,0.270097968,0.235474097,0.350273078,0.530551596,35.207,-0.0621875,-0.119676259,35.2691875,0.446206892,0.505670845,1.616000312,1.700967993,5,17,220.5814312,-93.529918931,44.077421119,-93.529879931,44.077382119,19.95829391,1282.379954,1145.764713,18.34271865,11814.71425,210.9767871,1205,-93.52993617085933,44.077377448039925,0.10595
